,Description,Label
0,Job re-run,pos
1,Job Re-Run,pos
2,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,neg
3,Job got failed due to name pipe error. Then job was re-started and completed successfully.,neg
4,Job got failed due to duplicate issue. Then issue was fixed and job was re-started once the issue fixed.,neg
5,On re-run job completed successfully.,pos
6,Job got failed due to file unavailability. Then issue was fixed and job was re started,neg
7,The job ran successfully on rerun,pos
8,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
9,the job failed due to hadoop database issue.,neg
10,The job abended due to duplicate data issue. The issue was fixed manually and the job was restarted and completed successfully.,pos
11,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully.",pos
12,The job executed successfully on re-run,pos
13,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully",pos
14,Named pipe error. Lock released and job is re-run.,neg
15,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
16,Job has been re-run successfully.,pos
17,no source file,neg
18,JOb schedules were kept on hold as the schedules were didnt run for past few days due to file unavailaility. Hence received deadline alert for the same.,pos
19,Job got failed due to connectivity issue. Then issue was fixed and job was re started,neg
20,Completed on re-run.,pos
21,Self-lock. Job completed by running the query manually.,pos
22,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.",pos
23,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully. ,pos
24,Job got abended due to connectivity issue. Then job has been re-executed and completed successfully.,pos
25,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
26,Job got failed due to source unavailability. Then Job was cancelled for the day.,neg
27,Source file issue. Job completed after receiving the file.,pos
28,Source file issue. Job completed after receiving the file.,pos
29,The job has been completed successfully on re-run,pos
30,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
31,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.",neg
32,Collect stats failed. Done manually.,neg
33,the job was killed as it hanged for long time. the job was cancelled for the day.,neg
34,schedule triggered wrongly. so the job are killed manually. ,neg
35,Self-lock occured. Job completed after manually running the query.,pos
36,"There was an issue with the TD upgrade happened, fix was later provide by DBA after which job has been rerun and completed successfully",pos
37,Stats failed due to format issue. Manually run stats.,neg
38,The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,neg
39,Job got failed due to login time out. Then job was re-started.,neg
40,Job abended as the oraacle source database was down. The job will be restarted once the Oracle server is restarted.,pos
41,"Source file unavailable , job completed successfully after receiving the updated file.",pos
42,On re-run job completed successfully.,pos
43,source file not available.,pos
44,rerun was successful,pos
45,completed successfully on re-running,pos
46,The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,neg
47,JOb got failed due to connectivity issue. Then job was re-started and completed successfully.,neg
48,The job Abended after running for long time. The next day's backup batch have covered all the backlogs.,pos
49,Source file not available. Job completed once the file is available.,pos
50,Completed on re-run.,pos
51,The job has been ran successfully on rerun,pos
52,Job got failed due to data issue. Then issue was fixed and job was re-started and completed successfully.,neg
53,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
54,Source file issue. Job completed after receiving the file.,pos
55,Job was marked as completed.,pos
56,Duplicates found. completed on re-run,pos
57,Job got abended due to duplicate issue. Then issue has been fixed and job  has been re-executed and completed successfully.,pos
58,Source file not available.,pos
59,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,neg
60,Batch Issues. Jobs were re-run successfully.,pos
61,Failed due to login time out issue and on re-running job got completed successfully.,neg
62,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.,neg
63,Confirmed at backend,pos
64,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
65,Self-lock. Job completed by running the query manually.,pos
66,"Triggered wrongly , due to isue with the job",pos
67,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,neg
68,JOb got failed due to file unavailability. Then job was re-started.,neg
69,Source file not available. Job re-run once the file is available.,pos
70,No source file.,neg
71,Named pipe error. Lock released and job re-run successfully.,pos
72,Job got trigerred wrongly. Hence Job was aborted and cancelled,neg
73,Job got failed due to name pipe error. THen job was restarted and completed.,neg
74,brj issue. Job re-run once brj is up and completed successfully.,pos
75,Self-lock occured. Job completed by running the query manually.,pos
76,"Batch entry was not there , updated the entry to R status f, the job completed successfully.",pos
77,rerun of the job was successful,pos
78,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
79,Job executed successfully at back end.,pos
80,cancelled the job,neg
81,"self lock occurred , completed the job by running the script",pos
82,On rerun job was completed successfully.,pos
83,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
84,The batch completed successfully on re-run,pos
85,"
The job failed due to tbload.It completed successfulll after releasing the tbload.",neg
86,JOb got failed due to process state failure. Then issue was fixed and job was re-started.,neg
87,No source file,neg
88,Self-lock occured. Job was killed and completed successfully by running the query manually.,neg
89,Completed on re-run,pos
90,The job abended due to dupllicate/NULL/Invalid Format issue. The issue was fixed and the job was restarted and completed successfully.,pos
91,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,neg
92,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
93,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
94,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,neg
95,The job was killed manually as the job was hanged,neg
96,Job got failed due to duplicate issue. Then issue has been fixed and job has been re-started,neg
97,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
98,Job completed successfully by running the query manually.,pos
99,Job got failed due to file unailability. Then issue was fixed and job was re-started,neg
100,Source file not available.,pos
101,brj issue. completed on re-run,pos
102,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
103,The job got abended with PIPE error due to database connection time out.,neg
104,Successful on re- run,pos
105,"
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.",neg
106,The job completed on rerun,pos
107,On re-run job completed successfully.,pos
108,Job got failed due to duplicate issue. Then issue has been fixed and job was restarted.,neg
109,The job abended due to the duplicate/NULL/Invalid data format issues. The issue is fixed and the job was restarted and completed successfully,pos
110,"self lock occurred , on rerun the job completed successfully",pos
111,The job failed due to tbload.It completed successfulll after releasing the tbload.,neg
112,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.,neg
113,JOb got failed due to low disk space. Then issue was fixed and job was re-started.,neg
114,Job got failed due to data issue. Then issue was fixed and job was re started,neg
115,JOb got failed due to name pipe error  and job was re-started and completed,neg
116,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,pos
117,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,neg
118,Confirmed at backend,pos
119,The job ran successfully on re-run,pos
120,the jobs failed due to null values which has been completed after re-execution.,neg
121,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
122,Named pipe error. Lock released and job is re-run.,neg
123,Source file issue.,pos
124,Job got failed due to  incorrect stream closure. Then issue was fixed and JOb was restarted and completed,neg
125,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
126,Job got failed due to data value issue. Then issue has been fixed and job has been re-started.,neg
127,on rerun the job completed successfully.,pos
128,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
129,job confirmed at backend ,pos
130,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
131,Wrongly triggered,pos
132,JOb got failed due to login timeeout. then job was re-started and completed,neg
133,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
134,Job got abended due to existence of bad character. Then issue has been fixed and job has been re-executed and completed successfully.,neg
135,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
136,Job got abended due to duplicate issue. Then issue has been fixed and job has been re-executed and completed successfully,pos
137,re run was successfull,pos
138,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
139,The job abended due to tbload issue. the issue was fixed and the job was reran and completed successfully.,pos
140,Source file not available. Job re-run once the file is avaialble.,pos
141,self lock. script executed,pos
142,on rerun the job completed successfully.,pos
143,Self-lock occured. Job was killed and completed successfully by running the query manually.,neg
